Feature,Importance
hon,0.3617381369824209
house,0.2996688234023604
government,0.20975859515528325
said,0.19901186582748423
right,0.17751159385535709
member,0.1591181942204975
country,0.14841660311470373
gentleman,0.1386314030820733
question,0.13848619427354697
lord,0.13495476715006013
great,0.13354526229310348
noble,0.1272012129399494
mr,0.12388568278397827
present,0.12331080920183583
time,0.12013367453786196
say,0.10382770475460404
ireland,0.10159762108817445
committee,0.0981419921110738
subject,0.0973180066433363
state,0.09429630076268243
case,0.09279311280345072
thought,0.09225954495276592
law,0.08641244187395274
friend,0.08482621661952268
act,0.07910260490279936
public,0.07709139902986696
year,0.07606727238908728
people,0.07362299508427425
opinion,0.07270021652686487
think,0.07152577109016203
years,0.06971044806744113
members,0.06940129382993342
measure,0.06641919035160491
parliament,0.06620073839039078
000,0.06573615536956308
ought,0.0654227428092247
general,0.06474652114371196
taken,0.06336469538515477
men,0.062114877634348795
make,0.06199479293052349
course,0.06138968525628319
given,0.06131473877446314
matter,0.058181464835645326
place,0.05804860516332796
sir,0.05714924738148735
proposed,0.05693462791082084
duty,0.0566258995055962
power,0.056522422260810556
learned,0.054370265902182496
england,0.05316473470881566
man,0.05277126567926039
majesty,0.050128976362820515
regard,0.050078302321135366
secretary,0.04949193126735008
order,0.04932543084467031
church,0.04913678714327098
necessary,0.048934090976530384
principle,0.04699229576573816
number,0.04674957136438913
persons,0.046685270689645786
stated,0.045750994660593555
respect,0.04509521294466811
motion,0.04486994766692489
clause,0.04485376604016829
far,0.04442239793741993
board,0.044420268776004586
fact,0.043372295527373074
way,0.04301118975133101
large,0.04267052392487623
point,0.04260792657926517
effect,0.04253553509114353
amendment,0.04252787011004829
ask,0.0424346128400563
brought,0.04210459282067823
day,0.041031495467345684
good,0.040448531071824945
know,0.040384230397081604
vote,0.04007933448240458
office,0.03987323165739944
new,0.03976592192206618
certain,0.03959473734427266
object,0.03945208352944472
shall,0.039315391366579744
called,0.039210636624944895
money,0.038947046441725516
irish,0.03847522427208565
land,0.037190062441785
asked,0.03715131170402577
believed,0.03713342674813689
attention,0.03702611701280364
court,0.0368144783681186
come,0.036735699395750936
consideration,0.03642058350628027
war,0.03574989766044743
property,0.03537261025764876
circumstances,0.03532236204824668
trade,0.0353100129120377
report,0.03503322192804319
means,0.03490504641083958
cases,0.03372676848358912
view,0.03340441344530628
wished,0.03336012688786716
considered,0.03311697665423506
doubt,0.03296921285201031
gentlemen,0.0328504056450342
received,0.03233557441480442
purpose,0.03199150193008509
reason,0.03133018439447976
like,0.030866878870501258
service,0.030485758977154977
lordships,0.03038994671346457
officers,0.030291579456075753
long,0.030225149619917072
forward,0.029666457664531236
hoped,0.02966603183224817
poor,0.029649424373208496
statement,0.029404570810444126
words,0.02933005016090714
possible,0.029075828287915266
believe,0.029042187537552857
position,0.029041761705269786
important,0.029002585135227486
passed,0.02896340856518519
india,0.028953614422674613
able,0.02892039950459527
justice,0.02879903730392076
support,0.028784984838579497
better,0.028766248218124485
scotland,0.028741549945706515
commissioners,0.028739420784291172
county,0.028697263388267395
pay,0.028504787196320443
education,0.028371927524003082
second,0.027989955966090663
character,0.02784006300245056
speech,0.02781153223948497
paid,0.02768931837424432
different,0.02767824673488454
quite,0.02757221449640049
local,0.027272854401403354
foreign,0.027047589123660135
occasion,0.02679166392153598
inquiry,0.026548087855620815
party,0.026325377571576006
session,0.02621508701026127
consider,0.026149508838668727
chancellor,0.02613460470876133
evidence,0.02608946648675607
felt,0.025997060881330213
period,0.025926798554623914
british,0.025887621984581614
manner,0.025724528220166392
discussion,0.025693016631219322
tax,0.025584003566753794
referred,0.025528219537671825
baronet,0.025469028850325308
reference,0.02538215906457934
notice,0.02536768076695501
person,0.025184998717518635
exchequer,0.02503127326333092
duties,0.024970379246852126
appeared,0.024920982702016183
interests,0.02475235311792107
authority,0.024739152317145945
lords,0.024728506510069234
let,0.024705511566783536
result,0.02469103326915921
opposite,0.024683368288063976
commission,0.024583297701542887
army,0.024471303811095878
best,0.024467045488265192
policy,0.024201326143630467
heard,0.02417577620664636
conduct,0.02411360469331836
wish,0.02409657140199562
certainly,0.02406378231619935
home,0.023996500815474532
came,0.023992242492643846
charge,0.0238551244974958
work,0.023818928753434977
answer,0.023794230481017007
carried,0.023672868280342492
earl,0.023596218469390168
sum,0.023511477845059543
required,0.02348720540492464
favour,0.023465913790771214
information,0.02339309647036651
increase,0.02336456570740092
late,0.023244055171292542
held,0.023117582983221207
force,0.022848882812604998
deal,0.0228016154291844
took,0.022638095832486105
moment,0.02254270940107877
hope,0.022523972780623756
ground,0.02245328462163439
impossible,0.02241027556104447
small,0.02235789819022705
read,0.022275712559594835
little,0.0220317106613966
