Feature,Importance
hon,0.35424719752892814
government,0.2247818959167586
secretary,0.1966387260706377
state,0.19603456264765287
right,0.15794515283717847
member,0.14617012083750144
friend,0.14414055092455047
house,0.140957880557819
asked,0.13406589296390176
minister,0.12774962387410085
time,0.11743210286346374
people,0.11610617041725999
make,0.11440546368912208
lord,0.10334754306512994
year,0.09747558028116396
noble,0.09730341366695985
think,0.0955922272318704
years,0.09282957686597501
ask,0.09258754553876056
local,0.09139801562748177
said,0.08987130530365063
say,0.08896006983252978
question,0.08572184038449959
gentleman,0.08456641110695207
mr,0.08312470285061685
number,0.08144379112449855
members,0.08090599917887356
committee,0.08085276892134186
matter,0.08067428121405587
new,0.07950903760777593
department,0.07894429784427552
country,0.07733607868859894
great,0.07117317927831125
report,0.07032082977958486
public,0.06975159871310521
service,0.06850334917398677
work,0.06801812210767436
available,0.06663213927719264
information,0.06597391387390217
act,0.06584782470137394
point,0.0655673677820038
present,0.0655535611839565
way,0.06543013352430486
industry,0.0651496766049347
case,0.06507315810973288
given,0.063030280632399
united,0.06266665143563556
shall,0.06233196619140497
british,0.06228988101904397
cent,0.06081457116264187
authorities,0.06040336742320946
council,0.0598627476201531
statement,0.05952273935016935
national,0.05883773247355825
general,0.05866656392668287
health,0.05831607594974756
order,0.058017487473905664
know,0.05666976389102486
trade,0.055679681100935186
services,0.055274798454584675
hope,0.0551555294088027
board,0.05435391499928621
taken,0.05305925532938233
view,0.051520069163942174
like,0.051477817647026386
amendment,0.051430409448912216
authority,0.049015086513411195
cost,0.04831477593775973
possible,0.04827851282481625
education,0.04732236432390304
home,0.04706170240655248
scotland,0.04705271980059401
policy,0.04643059116569223
figures,0.04525619860889903
place,0.04467016674238594
000,0.04462957867101802
fact,0.04402391814704011
million,0.04396436679642652
believe,0.043699213576096727
far,0.04297195518256983
office,0.042962639887501784
lords,0.042048243869840005
war,0.04163055269277092
good,0.04081812588719331
use,0.04069519726120603
course,0.040320755668381454
kingdom,0.03996461197658341
position,0.03995895626172066
social,0.03957902529858813
answer,0.03915867260864247
support,0.039142370842273386
employment,0.039092966509501774
area,0.03876593311479137
come,0.03875245920585366
debate,0.03872617676619738
scheme,0.03845453610823091
development,0.03843407572799216
want,0.03823080268204297
commission,0.03806894943023564
deal,0.037948183283460585
aware,0.03791724319627028
subject,0.03789112710116879
london,0.037667227330426066
day,0.03755361399950684
total,0.0373644802407145
need,0.037263010062294696
clause,0.036881581998169086
wales,0.03638454446846681
important,0.03635809568425575
cases,0.03606782443615318
increase,0.03601842010338157
men,0.03578404062568729
long,0.03542207487447171
reply,0.03509371072332301
community,0.0349960664696633
money,0.03478697136429658
tax,0.03478381081775563
able,0.034714445138409634
expenditure,0.03469980681758841
received,0.03459018575598406
certain,0.03453595743112364
regard,0.03445311784283993
ireland,0.03436944653178228
pay,0.03400465292313533
quite,0.033754138023626756
rate,0.033259595662246275
chancellor,0.03324994767806866
consider,0.03316294947591528
going,0.03305898412917367
labour,0.0328876492377435
necessary,0.03271165669877931
law,0.03270217505915648
agree,0.03250538945084396
future,0.032467462892352625
defence,0.03182570559998603
concerned,0.03179343475635744
foreign,0.03144461022496999
action,0.03140269139716378
transport,0.03139820009418454
power,0.03091164227143382
areas,0.030611889383708416
period,0.030467834999263244
prime,0.029951501501205728
particular,0.029878476241654423
financial,0.029687180003649866
party,0.029664224455089316
police,0.029405725016950986
proposals,0.029381106022842572
benefit,0.029321887361338554
land,0.02926832441469728
effect,0.02924337273147929
understand,0.02923904777305484
children,0.028902033705057246
private,0.028553708207334164
used,0.028437766052647924
set,0.028398508737718296
months,0.028388860753540673
problem,0.028204550986837152
matters,0.02816629173923624
south,0.02815847354516127
european,0.027920434487261687
second,0.027787026154322856
parliament,0.02775542068891341
housing,0.02771649606309335
end,0.02746947439923529
northern,0.02740792691396426
clear,0.027260046604759
training,0.02711832104408084
countries,0.027002545233949387
small,0.026833040132621867
school,0.026737059324510017
west,0.026523306571609274
result,0.02639438954164968
food,0.02624783998888271
legislation,0.026156849517414454
large,0.02612125178269013
date,0.026093971275705133
staff,0.026012628788414496
north,0.02591648163574786
man,0.02589951449115963
england,0.025878388732701735
provide,0.025753630316611806
majesty,0.025711378799696018
respect,0.025666798459013214
world,0.02564617173421968
provision,0.025142314077771157
wish,0.025129339202497804
special,0.025065629238014545
decision,0.025023045031989183
paid,0.02493355166151401
speech,0.024896955859460963
official,0.024780015637446
learned,0.02458456078557178
sure,0.024538150654786327
list,0.02438328387428003
terms,0.024343194836576466
making,0.024304602899865982
kind,0.0241953145273712
reason,0.02404410732707021
following,0.0239983625745039
