Year,Top Words
1013,[]
1101,"['members', 'member', 'payment', 'think', 'men', 'question', 'time', 'country', 'public', 'parliament']"
1803,"['country', 'army', 'men', 'military', 'man', 'system', 'right', 'might', 'corps', 'time']"
1804,"['volunteers', 'great', 'think', 'army', 'officers', 'say', 'much', 'line', 'armed', 'right']"
1805,"['country', 'catholics', 'ireland', 'sir', 'catholic', 'force', 'protestant', 'church', 'power', 'men']"
1806,"['tax', 'iron', 'committee', 'proposed', 'thought', 'subject', 'gentlemen', 'right', 'lady', 'respect']"
1807,"['question', 'beg', 'ireland', 'bill', 'general', 'order', 'jury', 'aware', 'year', 'post']"
1808,"['ministers', 'right', 'denmark', 'us', 'country', 'france', 'might', 'must', 'question', 'necessity']"
1809,"['bill', 'man', 'might', 'must', 'every', 'country', 'duke', 'law', 'case', 'without']"
1810,"['austria', 'country', 'till', 'battle', 'expedition', 'war', 'place', 'aspern', 'heard', 'ever']"
1811,"['might', 'bill', 'right', 'present', 'country', 'time', 'must', '``', 'subject', 'case']"
1812,"['catholics', 'country', 'ireland', 'right', 'catholic', 'gentleman', 'might', 'power', 'sir', 'present']"
1813,"['punishment', 'bill', 'transportation', 'learned', 'gentleman', 'newgate', 'life', 'prisoners', 'years', 'might']"
1814,"['gentleman', 'law', 'sum', 'majesty', 'granted', 'bill', 'present', 'without', 'exceeding', 'year']"
1815,"['bill', 'country', 'subject', 'might', 'duke', 'gentleman', 'captain', 'royal', 'ought', 'thought']"
1817,"['gentleman', 'country', 'might', 'right', 'present', 'bill', 'measure', 'every', 'law', 'learned']"
1818,"['might', 'evidence', 'bill', 'law', 'campbell', 'drummond', 'witness', 'persons', 'stated', 'lordships']"
1819,"['country', 'might', 'law', 'bill', 'subject', 'great', 'gentleman', 'right', 'persons', 'present']"
1820,"['majesty', 'lordships', 'time', 'might', 'room', 'princess', 'lords', 'place', 'country', 'case']"
1821,"['majesty', 'country', 'might', 'queen', 'ministers', 'present', 'conduct', 'right', '``', 'great']"
1822,"['law', 'might', 'country', 'majesty', 'poor', 'funeral', 'marriage', 'time', '``', 'present']"
1823,"['country', 'might', 'right', 'ireland', 'present', 'gentleman', 'bill', 'law', 'every', 'subject']"
1824,"['country', 'might', 'great', 'must', 'power', 'present', 'spain', 'time', 'subject', 'much']"
1825,"['india', 'member', 'plague', 'country', 'subject', 'present', 'amherst', 'troops', 'might', 'bill']"
1826,"['might', 'evidence', 'country', 'system', 'slaves', '``', 'case', 'law', 'must', 'subject']"
1827,"['punishment', 'army', 'gentleman', 'might', 'country', 'right', 'question', 'subject', 'corporal', 'member']"
1828,"['emigration', 'right', 'country', 'ireland', 'might', 'subject', 'question', 'population', 'franchise', 'present']"
1830,"['ellenborough', 'evidence', 'member', 'might', 'bill', 'case', 'lady', 'law', 'present', 'country']"
1831,"['bill', 'country', 'portugal', 'might', 'present', 'must', 'measure', 'member', 'great', 'earl']"
1832,"['might', 'member', 'country', 'right', 'must', 'bill', 'say', 'present', 'question', 'great']"
1833,"['member', 'bill', 'country', 'might', 'right', 'present', 'great', 'gentleman', 'measure', 'must']"
1834,"['bill', 'ireland', 'might', 'learned', 'present', 'country', 'measure', 'great', 'church', 'member']"
1835,"['bill', 'law', 'might', 'present', 'member', '``', 'subject', 'country', 'case', 'right']"
1836,"['act', 'bill', 'right', '``', 'might', 'law', 'subject', 'great', 'member', 'present']"
1837,"['law', 'country', 'present', 'might', 'church', 'majesty', 'great', 'case', 'right', 'subject']"
1838,"['ballot', 'member', 'great', 'vote', 'might', 'country', 'public', 'bill', 'right', 'opinion']"
1839,"['majesty', 'might', 'right', 'friend', 'country', 'present', 'thought', 'subject', 'say', 'bill']"
1840,"['bill', 'might', 'right', 'punishment', 'country', 'law', 'death', 'great', 'case', 'gentleman']"
1841,"['country', 'member', 'law', 'right', 'bill', 'might', 'great', 'thought', 'subject', 'commissioners']"
1842,"['country', 'bill', 'law', 'might', 'years', 'children', 'great', 'must', '``', 'subject']"
1843,"['right', 'country', 'bill', 'might', 'ireland', 'great', 'member', 'present', 'say', 'must']"
1844,"[""o'driscoll"", 'right', 'case', 'law', 'country', 'subject', 'gentleman', 'might', 'great', '``']"
1845,"['right', 'ireland', 'great', 'church', 'measure', 'country', 'bill', 'gentleman', 'member', 'might']"
1846,"['bill', 'country', 'great', 'right', 'measure', 'ireland', 'might', 'member', 'present', 'man']"
1847,"['member', 'bill', 'hours', 'poor', 'law', 'country', 'might', 'question', 'labour', 'great']"
1850,"['bill', 'law', 'question', 'member', 'great', 'might', 'right', 'gentleman', 'ireland', 'church']"
1851,"['church', 'country', 'roman', 'bill', 'member', 'catholic', 'might', 'great', 'present', 'question']"
1852,"['country', 'might', 'great', 'india', 'duty', 'paper', 'present', 'time', 'question', 'gentleman']"
